render_probe	baseline
render_work	9	0	25767	0
render_frames	7342	78265.381	8480.761
# shell_band	radius	chunk	kit	shadows	buildings	chunks	vertices	triangles	kit_pieces	collect_ms	generate_ms	upload_ms	slowest_upload_ms
shell_band	250	64	15	off	82	44	276674	138280	1230	74.380	10.884	22.193	0.878
# render	layer	batches	uploads	uploaded_instances	uploaded_bytes	upload_ms	pending
render	ground	1	1	1	768	2.971	0
render	hazard	0	0	0	0	0.000	0
render	water	0	0	0	0	0.000	0
render	flood	0	0	0	0	0.000	0
render	road	6733	6733	53498	6894592	111.861	0
render	footway	6966	6966	104908	7133184	165.831	0
render	kerb	6966	1272	97792	9975808	271.122	0
render	cell	145	145	290	111360	1.498	0
render	plot	1196	1196	13068	1233920	22.004	0
render	zone	3210	3210	12499	3287040	58.239	0
render	cursor	0	0	0	0	0.000	0
render	building	3199	3238	87720	7535360	156.876	0
render	roof	3040	3065	10481	3923200	97.500	0
render	hip	1480	1487	1960	1903360	31.139	0
render	paired-roof	3199	3236	37697	4595200	112.936	0
render	parapet	3198	3229	37448	4523520	117.271	0
render	yard	3199	3236	65596	5846016	156.500	0
render	tree	55006	2903	15284	2972672	1739.681	0
render	rock	10033	0	0	0	103.997	0
render	traveller	0	0	0	0	0.000	0
render	car	0	0	0	0	0.000	0
